evolutionary_step,[best_fitnesses]
0,[array(0.13424353, dtype=float32), array(1.6583046, dtype=float32), array(0.00109361, dtype=float32), array(0.00107966, dtype=float32), array(0.00121965, dtype=float32), array(0.00098583, dtype=float32), array(0.0010804, dtype=float32), array(0.00107982, dtype=float32), array(4.297809, dtype=float32), array(973.1132, dtype=float32)]
1,[array(0.00109318, dtype=float32), array(0.00109634, dtype=float32), array(0.00112318, dtype=float32), array(0.20580046, dtype=float32), array(0.00107963, dtype=float32), array(0.00103107, dtype=float32), array(3.8192892, dtype=float32), array(0.2216649, dtype=float32), array(0.15060596, dtype=float32), array(0.00104144, dtype=float32)]
2,[array(0.00091719, dtype=float32), array(0.00111123, dtype=float32), array(0.00108112, dtype=float32), array(0.00107693, dtype=float32), array(0.0005826, dtype=float32), array(0.00107965, dtype=float32), array(0.00124393, dtype=float32), array(0.01685491, dtype=float32), array(0.00107963, dtype=float32), array(0.00107978, dtype=float32)]
3,[array(0.00107945, dtype=float32), array(0.00175272, dtype=float32), array(0.00621594, dtype=float32), array(0.00086367, dtype=float32), array(0.00080231, dtype=float32), array(0.00099623, dtype=float32), array(0.00107971, dtype=float32), array(0.00108006, dtype=float32), array(0.00069542, dtype=float32), array(0.00109922, dtype=float32)]
4,[array(0.00151245, dtype=float32), array(0.00107968, dtype=float32), array(0.00107965, dtype=float32), array(0.00116708, dtype=float32), array(0.00107969, dtype=float32), array(0.00196608, dtype=float32), array(201.17613, dtype=float32), array(0.00109678, dtype=float32), array(0.00058944, dtype=float32), array(0.00071395, dtype=float32)]
5,[array(0.00118715, dtype=float32), array(0.00072162, dtype=float32), array(0.0041455, dtype=float32), array(0.00107963, dtype=float32), array(0.00180303, dtype=float32), array(0.7706216, dtype=float32), array(0.00351871, dtype=float32), array(0.00108099, dtype=float32), array(0.00105401, dtype=float32), array(0.0010723, dtype=float32)]
6,[array(0.00108302, dtype=float32), array(0.00081656, dtype=float32), array(0.00107752, dtype=float32), array(0.00071199, dtype=float32), array(0.00120953, dtype=float32), array(0.00107802, dtype=float32), array(0.00063244, dtype=float32), array(0.00247534, dtype=float32), array(0.00104802, dtype=float32), array(0.00108991, dtype=float32)]
7,[array(0.00107965, dtype=float32), array(0.00107964, dtype=float32), array(0.00107979, dtype=float32), array(0.0010796, dtype=float32), array(0.0010798, dtype=float32), array(0.00108573, dtype=float32), array(0.10329887, dtype=float32), array(0.00099584, dtype=float32), array(0.00069738, dtype=float32), array(0.5837256, dtype=float32)]
8,[array(0.00114031, dtype=float32), array(0.00085287, dtype=float32), array(0.00108008, dtype=float32), array(0.00100563, dtype=float32), array(0.00079237, dtype=float32), array(0.00107969, dtype=float32), array(0.00105996, dtype=float32), array(0.00108049, dtype=float32), array(0.00107972, dtype=float32), array(0.00107963, dtype=float32)]
9,[array(0.00108273, dtype=float32), array(0.00107974, dtype=float32), array(0.00297922, dtype=float32), array(0.00074091, dtype=float32), array(0.00108049, dtype=float32), array(0.00107986, dtype=float32), array(0.00108015, dtype=float32), array(0.00107963, dtype=float32), array(0.00107963, dtype=float32), array(0.00064381, dtype=float32)]
10,[array(0.00110439, dtype=float32), array(0.00074352, dtype=float32), array(0.00107963, dtype=float32), array(0.00107981, dtype=float32), array(0.00091234, dtype=float32), array(0.00103125, dtype=float32), array(0.00107964, dtype=float32), array(0.00107964, dtype=float32), array(0.00107964, dtype=float32), array(164.96371, dtype=float32)]
11,[array(0.00061386, dtype=float32), array(0.00062248, dtype=float32), array(0.00108203, dtype=float32), array(0.0010797, dtype=float32), array(0.00103052, dtype=float32), array(0.00108323, dtype=float32), array(0.00099348, dtype=float32), array(0.00107968, dtype=float32), array(0.00108194, dtype=float32), array(0.00067318, dtype=float32)]
12,[array(0.00105531, dtype=float32), array(0.00107964, dtype=float32), array(0.00070206, dtype=float32), array(0.00107126, dtype=float32), array(0.00066146, dtype=float32), array(0.00107968, dtype=float32), array(0.00104747, dtype=float32), array(0.00096896, dtype=float32), array(0.00107439, dtype=float32), array(0.00108457, dtype=float32)]
13,[array(0.00072097, dtype=float32), array(0.00092629, dtype=float32), array(0.00069504, dtype=float32), array(0.0006532, dtype=float32), array(0.00057805, dtype=float32), array(0.0010787, dtype=float32), array(51.58263, dtype=float32), array(0.00075732, dtype=float32), array(0.00059764, dtype=float32), array(0.00062994, dtype=float32)]
14,[array(0.00059821, dtype=float32), array(0.00068322, dtype=float32), array(0.00072495, dtype=float32), array(0.00094098, dtype=float32), array(0.00095872, dtype=float32), array(0.00053678, dtype=float32), array(0.00137469, dtype=float32), array(0.00106729, dtype=float32), array(0.00096476, dtype=float32), array(0.00102231, dtype=float32)]
15,[array(0.00058205, dtype=float32), array(0.0010799, dtype=float32), array(0.00109183, dtype=float32), array(0.00079038, dtype=float32), array(0.00107966, dtype=float32), array(0.00107963, dtype=float32), array(0.00108259, dtype=float32), array(0.00104194, dtype=float32), array(0.00108061, dtype=float32), array(0.0010798, dtype=float32)]
16,[array(0.00090786, dtype=float32), array(0.00089383, dtype=float32), array(0.00107992, dtype=float32), array(0.00102997, dtype=float32), array(0.00108132, dtype=float32), array(0.00062549, dtype=float32), array(0.00074969, dtype=float32), array(0.01549179, dtype=float32), array(0.0825543, dtype=float32), array(0.01544423, dtype=float32)]
17,[array(0.00107926, dtype=float32), array(0.00073172, dtype=float32), array(0.02115974, dtype=float32), array(0.00107981, dtype=float32), array(0.00094984, dtype=float32), array(0.00055482, dtype=float32), array(0.00107974, dtype=float32), array(0.00068704, dtype=float32), array(0.00107987, dtype=float32), array(0.00075279, dtype=float32)]
18,[array(0.00070526, dtype=float32), array(0.00060868, dtype=float32), array(0.00108017, dtype=float32), array(0.00105715, dtype=float32), array(0.00069242, dtype=float32), array(0.01087599, dtype=float32), array(0.00108173, dtype=float32), array(0.00106971, dtype=float32), array(0.00068651, dtype=float32), array(0.0652598, dtype=float32)]
